,SCHOOL,Feature,Information
1,ENSA KHOURIBGA,Nombre des étudiants,1193
2,ENSA KHOURIBGA,Cité universitaire,Non
3,ENSA KHOURIBGA,Type,École d'ingénieur
4,ENSA KHOURIBGA,Adresse,"BD BÉNI AMIR, BP 77, KHOURIBGA - MAROC"
5,ENSA KHOURIBGA,Téléphones,"+212523492335 
+212618534372"
6,ENSA KHOURIBGA,Site,http://ensak.usms.ac.ma/ensak/
7,ENSA KHOURIBGA,Localisation,"32.89737382573899, -6.913431298416759"
8,ENSA KHOURIBGA,Filières,"Génie Informatique - Informatique et Ingénierie des Données - Génie Electrique -Ingénierie des Réseaux Intelligents et Cybersécurité - Génie des Procédés, de l’Energie et de l’Environnement - Management et Gouvernance des Systèmes d’Information 
"
1,ENSA BENI MELLAL,Nombre des étudiants,1200
2,ENSA BENI MELLAL,Cité universitaire,Non
3,ENSA BENI MELLAL,Type,École d'ingénieur
4,ENSA BENI MELLAL,Adresse,"ENSA, Béni Mellal, M’Ghila, Béni Mellal, 23000"
5,ENSA BENI MELLAL,Téléphones,(+212) 6-66-72-20-45
6,ENSA BENI MELLAL,Filières,Génie Agro-Alimentation;  Energie Renouvelable et Efficacité énergétique; Transformation digitale industrielle
7,ENSA BENI MELLAL,Site,https://ensabm.usms.ac.ma/
8,ENSA BENI MELLAL,Localisation,"32.37273791044981, -6.315400288112186"
1,ENSA MARRAKECH,Nombre des étudiants,1200
2,ENSA MARRAKECH,Cité universitaire,Pour les filles
3,ENSA MARRAKECH,Type,École d'ingénieur
4,ENSA MARRAKECH,Adresse,"BP 575, Avenue Abdelkrim Khattabi, 40000, Guéliz-Marrakech"
5,ENSA MARRAKECH,Téléphones,"(+212) 0524434745 
 (+212) 0524434746"
6,ENSA MARRAKECH,Filières,"Systèmes Electroniques Embarqués et Commande des Systèmes (SEECS); Génie Industriel et Logistique (GIL);Génie Informatique (GI); Réseaux, Systèmes & Services Programmables (RSSP); Génie Cyber-Défense et Systèmes de Télécommunications Embarqués (GCDSTE)
"
7,ENSA MARRAKECH,Site,https://ensa-marrakech.uca.ma/
8,ENSA MARRAKECH,Localisation,"31.64726991893509, -8.020322574800721"
1,ENSA BERRECHID,Nombre des étudiants,1200
2,ENSA BERRECHID,Cité universitaire,Non
3,ENSA BERRECHID,Type,École d'ingénieur
4,ENSA BERRECHID,Adresse,"Avenue de l'université, B.P :218 Berrechid."
5,ENSA BERRECHID,Téléphones,05-22-32-47-58
6,ENSA BERRECHID,Filières,Ingénierie de L'Aéronautique; Ingénierie Des Systèmes D'Information Et Big Data; Génie Informatique; Génie Energétique et Environnement; Génie Mécatronique et Systèmes Intelligents; Automobile et Solutions Digitales
